price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,sqft_diff,sqft_diff_ratio,sqft_living_squared,sqft_lot_squared,sqft_diff_squared
221900.0,3,1.0,1180,5650,1.0,0,0,2,7,1180,0,1955,0.0,98178,47.5112,-122.257,1340,5650,4470,0.7911504424778761,1392400,31922500,30530100
538000.0,3,2.25,2570,7242,2.0,0,0,2,7,2170,400,1951,1991.0,98125,47.721000000000004,-122.319,1690,7639,4672,0.6451256558961613,6604900,52446564,45841664
180000.0,2,1.0,770,10000,1.0,0,0,2,6,770,0,1933,0.0,98028,47.7379,-122.23299999999999,2720,8062,9230,0.923,592900,100000000,99407100
604000.0,4,3.0,1960,5000,1.0,0,0,4,7,1050,910,1965,0.0,98136,47.5208,-122.39299999999999,1360,5000,3040,0.608,3841600,25000000,21158400
510000.0,3,2.0,1680,8080,1.0,0,0,2,8,1680,0,1987,0.0,98074,47.6168,-122.045,1800,7503,6400,0.7920792079207921,2822400,65286400,62464000
1230000.0,4,4.5,5420,101930,1.0,0,0,2,11,3890,1530,2001,0.0,98053,47.6561,-122.005,4760,101930,96510,0.9468262533110958,29376400,10389724900,10360348500
257500.0,3,2.25,1715,6819,2.0,0,0,2,7,1715,0,1995,0.0,98003,47.3097,-122.32700000000001,2238,6819,5104,0.7484968470450213,2941225,46498761,43557536
291850.0,3,1.5,1060,9711,1.0,0,0,2,7,1060,0,1963,0.0,98198,47.4095,-122.315,1650,9711,8651,0.8908454330141077,1123600,94303521,93179921
229500.0,3,1.0,1780,7470,1.0,0,0,2,7,1050,730,1960,0.0,98146,47.5123,-122.337,1780,8113,5690,0.7617135207496654,3168400,55800900,52632500
323000.0,3,2.5,1890,6560,2.0,0,0,2,7,1890,0,2003,0.0,98038,47.3684,-122.031,2390,7570,4670,0.711890243902439,3572100,43033600,39461500
662500.0,3,2.5,3560,9796,1.0,0,0,2,8,1860,1700,1965,0.0,98007,47.6007,-122.145,2210,8925,6236,0.6365863617803185,12673600,95961616,83288016
