price,sqft_living,bedrooms,bathrooms,condition,floors,sqft_lot,sqft_above,sqft_basement,BR/BTH,FAR,yard,lot_per_floor,living_per_floor,living_per_lot,grade,yr_built,yr_renovated,yr_built_pd,renovated,built_and_renovated,zipcode,view,waterfront
221900.0,1180,3,1.0,2,1.0,5650,1180,0,3.0,0.21,4470.0,5650.0,1180.0,0.21,7,1955,0.0,6,0,60,98178,0,0
538000.0,2570,3,2.25,2,2.0,7242,2170,400,1.33,0.35,6157.0,3621.0,1085.0,0.3,7,1951,1991.0,6,1,18,98125,0,0
180000.0,770,2,1.0,2,1.0,10000,770,0,2.0,0.08,9230.0,10000.0,770.0,0.08,6,1933,0.0,4,0,40,98028,0,0
604000.0,1960,4,3.0,4,1.0,5000,1050,910,1.33,0.39,3950.0,5000.0,1050.0,0.21,7,1965,0.0,7,0,70,98136,0,0
510000.0,1680,3,2.0,2,1.0,8080,1680,0,1.5,0.21,6400.0,8080.0,1680.0,0.21,8,1987,0.0,9,0,90,98074,0,0
1230000.0,5420,4,4.5,2,1.0,101930,3890,1530,0.89,0.05,98040.0,101930.0,3890.0,0.04,11,2001,0.0,11,0,110,98053,0,0
257500.0,1715,3,2.25,2,2.0,6819,1715,0,1.33,0.25,5961.5,3409.5,857.5,0.25,7,1995,0.0,10,0,100,98003,0,0
291850.0,1060,3,1.5,2,1.0,9711,1060,0,2.0,0.11,8651.0,9711.0,1060.0,0.11,7,1963,0.0,7,0,70,98198,0,0
229500.0,1780,3,1.0,2,1.0,7470,1050,730,3.0,0.24,6420.0,7470.0,1050.0,0.14,7,1960,0.0,6,0,60,98146,0,0
323000.0,1890,3,2.5,2,2.0,6560,1890,0,1.2,0.29,5615.0,3280.0,945.0,0.29,7,2003,0.0,11,0,110,98038,0,0
662500.0,3560,3,2.5,2,1.0,9796,1860,1700,1.2,0.36,7936.0,9796.0,1860.0,0.19,8,1965,0.0,7,0,70,98007,0,0
468000.0,1160,2,1.0,3,1.0,6000,860,300,2.0,0.19,5140.0,6000.0,860.0,0.14,7,1942,0.0,5,0,50,98115,0,0
310000.0,1430,3,1.0,3,1.5,19901,1430,0,3.0,0.07,18947.666666666668,13267.33,953.33,0.07,7,1927,0.0,3,0,30,98028,0,0
400000.0,1370,3,1.75,3,1.0,9680,1370,0,1.71,0.14,8310.0,9680.0,1370.0,0.14,7,1977,0.0,8,0,80,98074,0,0
530000.0,1810,5,2.0,2,1.5,4850,1810,0,2.5,0.37,3643.333333333333,3233.33,1206.67,0.37,7,1900,0.0,1,0,10,98107,0,0
