price,sqft_living,zipcode,zipcode_counts,lat,long
221900.0,1180,98178,262,47.5112,-122.257
205425.0,880,98178,262,47.5009,-122.24799999999999
445000.0,2100,98178,262,47.5091,-122.244
236000.0,1300,98178,262,47.5053,-122.255
170000.0,860,98178,262,47.5048,-122.272
245000.0,1740,98178,262,47.4945,-122.22
165000.0,1000,98178,262,47.4897,-122.24
239900.0,1000,98178,262,47.4897,-122.24
339000.0,2390,98178,262,47.504,-122.227
290900.0,1610,98178,262,47.4855,-122.266
190000.0,630,98178,262,47.4973,-122.221
260000.0,1180,98178,262,47.505,-122.259
360000.0,1840,98178,262,47.4964,-122.251
289500.0,960,98178,262,47.496,-122.23899999999999
188000.0,1120,98178,262,47.5024,-122.271
350000.0,2520,98178,262,47.4938,-122.255
164808.0,1250,98178,262,47.5064,-122.265
310000.0,2010,98178,262,47.5042,-122.265
825000.0,1150,98178,262,47.501999999999995,-122.22200000000001
269000.0,1690,98178,262,47.4945,-122.258
252500.0,1150,98178,262,47.49800000000001,-122.26299999999999
790000.0,2460,98178,262,47.5105,-122.238
260000.0,1120,98178,262,47.4979,-122.241
245000.0,1280,98178,262,47.4949,-122.255
1700000.0,3190,98178,262,47.5115,-122.24600000000001
612000.0,3840,98178,262,47.506,-122.241
285000.0,2110,98178,262,47.504,-122.26
299000.0,1950,98178,262,47.4977,-122.226
212000.0,1880,98178,262,47.495,-122.266
240000.0,1920,98178,262,47.4961,-122.235
255000.0,2430,98178,262,47.4979,-122.23200000000001
335000.0,2330,98178,262,47.5001,-122.23100000000001
194000.0,1010,98178,262,47.4925,-122.27799999999999
251700.0,1810,98178,262,47.4997,-122.23100000000001
150000.0,1450,98178,262,47.5056,-122.244
280005.0,1130,98178,262,47.5041,-122.25299999999999
243000.0,1770,98178,262,47.4974,-122.23100000000001
400000.0,2350,98178,262,47.5115,-122.256
355000.0,2550,98178,262,47.4856,-122.24700000000001
294000.0,1320,98178,262,47.4857,-122.25299999999999
210000.0,1200,98178,262,47.4921,-122.275
184500.0,720,98178,262,47.5056,-122.27
199000.0,2030,98178,262,47.4994,-122.26100000000001
415000.0,3700,98178,262,47.5086,-122.258
285000.0,2080,98178,262,47.4866,-122.23200000000001
200000.0,2090,98178,262,47.5077,-122.26799999999999
700000.0,1160,98178,262,47.5117,-122.24799999999999
178000.0,1990,98178,262,47.4938,-122.262
160000.0,1180,98178,262,47.4889,-122.259
100000.0,790,98178,262,47.4933,-122.245
330000.0,1620,98178,262,47.5048,-122.241
355000.0,2020,98178,262,47.5019,-122.235
119900.0,700,98178,262,47.4976,-122.262
200000.0,1070,98178,262,47.4942,-122.235
345100.0,1950,98178,262,47.505,-122.258
200000.0,960,98178,262,47.4966,-122.255
210000.0,1400,98178,262,47.4999,-122.26799999999999
359950.0,1940,98178,262,47.5018,-122.23
360000.0,1960,98178,262,47.5101,-122.24600000000001
265000.0,1360,98178,262,47.4973,-122.256
195000.0,720,98178,262,47.5054,-122.26100000000001
353000.0,1920,98178,262,47.5003,-122.23
499900.0,2430,98178,262,47.4972,-122.23299999999999
169000.0,890,98178,262,47.4971,-122.26100000000001
220000.0,1900,98178,262,47.5081,-122.266
279000.0,1210,98178,262,47.5026,-122.234
372500.0,2480,98178,262,47.4964,-122.26299999999999
235000.0,880,98178,262,47.5071,-122.265
1100000.0,3190,98178,262,47.5033,-122.225
258000.0,1040,98178,262,47.5111,-122.256
241000.0,880,98178,262,47.4995,-122.24799999999999
261000.0,1780,98178,262,47.4932,-122.26299999999999
390000.0,3060,98178,262,47.4879,-122.245
375000.0,2320,98178,262,47.504,-122.24799999999999
352000.0,1440,98178,262,47.501999999999995,-122.228
287000.0,930,98178,262,47.506,-122.242
241000.0,1150,98178,262,47.5075,-122.262
295000.0,2100,98178,262,47.5108,-122.257
800000.0,4940,98178,262,47.5095,-122.24700000000001
375000.0,2230,98178,262,47.5055,-122.26
212000.0,1040,98178,262,47.492,-122.22399999999999
350000.0,2010,98178,262,47.4975,-122.23100000000001
336000.0,1790,98178,262,47.4958,-122.262
303100.0,1640,98178,262,47.50899999999999,-122.251
356200.0,1690,98178,262,47.5102,-122.241
205000.0,860,98178,262,47.4947,-122.23700000000001
353000.0,2190,98178,262,47.5033,-122.23200000000001
552000.0,3160,98178,262,47.511,-122.251
343000.0,2210,98178,262,47.4968,-122.23700000000001
288250.0,2110,98178,262,47.4861,-122.226
216000.0,1810,98178,262,47.5039,-122.266
340000.0,2060,98178,262,47.4984,-122.23
258000.0,750,98178,262,47.4982,-122.221
472000.0,2180,98178,262,47.5044,-122.235
170000.0,810,98178,262,47.4925,-122.23899999999999
199950.0,1340,98178,262,47.4934,-122.23700000000001
315000.0,1950,98178,262,47.5014,-122.226
153000.0,1270,98178,262,47.4959,-122.241
203000.0,1190,98178,262,47.5026,-122.236
210000.0,2090,98178,262,47.4958,-122.265
361000.0,2470,98178,262,47.5072,-122.25200000000001
315000.0,1780,98178,262,47.5094,-122.26299999999999
495000.0,1810,98178,262,47.5099,-122.262
190000.0,930,98178,262,47.4837,-122.236
239300.0,1070,98178,262,47.5071,-122.255
248000.0,2080,98178,262,47.4918,-122.258
289900.0,1180,98178,262,47.4947,-122.238
159075.0,1580,98178,262,47.4971,-122.24
323500.0,2240,98178,262,47.4886,-122.245
350000.0,1820,98178,262,47.5053,-122.242
225000.0,1220,98178,262,47.5038,-122.266
265950.0,1150,98178,262,47.4927,-122.22399999999999
304000.0,1720,98178,262,47.4999,-122.223
323000.0,1830,98178,262,47.5087,-122.25
230000.0,1420,98178,262,47.4928,-122.274
