price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,rate_price,view_str,water_str,condition_str,grade_str
7700.0,6,8.0,12050,27600,2.5,0,3,3,13,8570,3480,1910,1987.0,98102,47.6298,-122.323,3940,8800,1.5649350649350648,Good,NO,Good,Mansion
7060.0,5,5.0,10040,37325,2.0,1,2,2,11,7680,2360,1940,2001.0,98004,47.65,-122.214,3930,25449,1.4220963172804533,Average,YES,Average,Excellent
6890.0,6,8.0,9890,31374,2.0,0,4,2,13,8860,1030,2001,0.0,98039,47.6305,-122.24,4540,42730,1.4354136429608129,Excellent,NO,Average,Mansion
5570.0,5,6.0,9200,35069,2.0,0,0,2,13,6200,3000,2001,0.0,98039,47.6289,-122.23299999999999,3560,24345,1.6517055655296229,None,NO,Average,Mansion
5350.0,5,5.0,8000,23985,2.0,0,4,2,12,6720,1280,2009,0.0,98004,47.6232,-122.22,4600,21750,1.4953271028037383,Excellent,NO,Average,Luxury
5300.0,6,6.0,7390,24829,2.0,1,0,3,12,5000,2390,1991,0.0,98040,47.5631,-122.21,4320,24619,1.3943396226415095,None,YES,Good,Luxury
5110.0,5,5.0,8010,45517,2.0,1,4,2,12,5990,2020,1999,0.0,98033,47.6767,-122.211,3430,26788,1.5675146771037183,Excellent,YES,Average,Luxury
4670.0,5,7.0,9640,13068,1.0,1,4,2,12,4820,4820,1983,2009.0,98040,47.556999999999995,-122.21,3270,10454,2.06423982869379,Excellent,YES,Average,Luxury
4500.0,5,6.0,6640,40014,2.0,1,4,2,12,6350,290,2004,0.0,98155,47.7493,-122.28,3030,23408,1.4755555555555555,Excellent,YES,Average,Luxury
4490.0,4,3.0,6430,27517,2.0,0,0,2,12,6430,0,2001,0.0,98004,47.6208,-122.219,3720,14592,1.4320712694877507,None,NO,Average,Luxury
4210.0,5,6.0,7440,21540,2.0,0,0,2,12,5550,1890,2003,0.0,98006,47.5692,-122.189,4740,19329,1.7672209026128265,None,NO,Average,Luxury
4000.0,4,6.0,7080,16573,2.0,0,0,2,12,5760,1320,2008,0.0,98039,47.6151,-122.22399999999999,3140,15996,1.77,None,NO,Average,Luxury
3850.0,4,4.0,5770,21300,2.0,1,4,3,11,5770,0,1980,0.0,98040,47.585,-122.22200000000001,4620,22748,1.4987012987012986,Excellent,YES,Good,Excellent
3800.0,5,6.0,7050,42840,1.0,0,2,3,13,4320,2730,1978,0.0,98004,47.6229,-122.22,5070,20570,1.855263157894737,Average,NO,Good,Mansion
3800.0,3,4.0,5510,35000,2.0,0,4,2,13,4910,600,1997,0.0,98177,47.7296,-122.37,3430,45302,1.45,Excellent,NO,Average,Mansion
3710.0,4,4.0,5550,28078,2.0,0,2,3,12,3350,2200,2000,0.0,98039,47.6395,-122.234,2980,19602,1.4959568733153639,Average,NO,Good,Luxury
3650.0,5,4.0,5020,8694,2.0,0,1,2,12,3970,1050,2007,0.0,98004,47.6146,-122.213,4190,11275,1.3753424657534246,Fair,NO,Average,Luxury
3650.0,6,5.0,5480,19401,1.5,1,4,4,11,3910,1570,1936,0.0,98105,47.6515,-122.277,3510,15810,1.5013698630136987,Excellent,YES,Very Good,Excellent
3640.0,4,3.0,4830,22257,2.0,1,4,3,11,4830,0,1990,0.0,98039,47.6409,-122.241,3820,25582,1.3269230769230769,Excellent,YES,Good,Excellent
3640.0,5,6.0,5490,19897,2.0,0,0,2,12,5490,0,2005,0.0,98039,47.6165,-122.236,2910,17600,1.5082417582417582,None,NO,Average,Luxury
3600.0,3,3.0,5020,12431,2.0,1,4,2,10,3420,1600,1941,2002.0,98144,47.5925,-122.287,3680,12620,1.3944444444444444,Excellent,YES,Average,Very Good
3570.0,5,5.0,4850,10584,2.0,1,4,2,10,3540,1310,2007,0.0,98008,47.5943,-122.11,3470,18270,1.3585434173669468,Excellent,YES,Average,Very Good
3420.0,5,5.0,5450,20412,2.0,0,0,2,11,5450,0,2014,0.0,98039,47.6209,-122.23700000000001,3160,17825,1.5935672514619883,None,NO,Average,Excellent
3400.0,4,4.0,4260,11765,2.0,0,0,2,11,3280,980,1939,2010.0,98112,47.63800000000001,-122.288,4260,10408,1.2529411764705882,None,NO,Average,Excellent
3400.0,4,4.0,4730,47870,1.0,1,4,2,10,2940,1790,1954,0.0,98033,47.6967,-122.21600000000001,3250,49346,1.3911764705882352,Excellent,YES,Average,Very Good
3400.0,3,5.0,5230,17826,2.0,1,4,2,10,3740,1490,2005,0.0,98040,47.5348,-122.243,3670,17826,1.5382352941176471,Excellent,YES,Average,Very Good
