price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,rate_price,view_str,water_str,condition_str,grade_str,mean_sqft,mean_price
450.0,2,2.0,1610,6160,2.0,0,0,3,8,1610,0,1977,0.0,98052,47.6644,-122.13,1750,6305,3.577777777777778,None,NO,Good,Good,1624.0097686849138,319.0479993548982
450.0,3,1.0,1140,4500,1.0,0,0,2,6,840,300,1907,0.0,98144,47.5897,-122.314,1150,3000,2.533333333333333,None,NO,Average,Low Average,1624.0097686849138,319.0479993548982
450.0,3,1.0,1430,5960,1.5,0,0,3,7,1430,0,1917,0.0,98118,47.562,-122.289,1140,3960,3.1777777777777776,None,NO,Good,Average,1624.0097686849138,319.0479993548982
450.0,3,1.0,2020,8100,1.0,0,0,2,7,1170,850,1956,0.0,98125,47.7136,-122.288,1480,7620,4.488888888888889,None,NO,Average,Average,1624.0097686849138,319.0479993548982
450.0,3,2.0,1810,12600,1.0,0,0,2,7,1400,410,1977,0.0,98034,47.7143,-122.23299999999999,1934,12600,4.022222222222222,None,NO,Average,Average,1624.0097686849138,319.0479993548982
450.0,3,3.0,2820,10208,1.0,0,1,3,8,1410,1410,1954,0.0,98028,47.7609,-122.26,1540,10684,6.266666666666667,Fair,NO,Good,Good,1624.0097686849138,319.0479993548982
450.0,3,3.0,1990,12866,2.0,0,0,3,7,1990,0,1986,0.0,98072,47.7477,-122.17,2310,8803,4.4222222222222225,None,NO,Good,Average,1624.0097686849138,319.0479993548982
450.0,3,2.0,1360,5445,1.0,0,0,3,7,1360,0,1957,0.0,98008,47.6071,-122.12299999999999,1570,7840,3.022222222222222,None,NO,Good,Average,1624.0097686849138,319.0479993548982
450.0,3,2.0,1770,17208,1.0,0,0,2,8,1160,610,1959,0.0,98006,47.5659,-122.117,2450,17118,3.933333333333333,None,NO,Average,Good,1624.0097686849138,319.0479993548982
450.0,3,3.0,2450,19744,2.0,0,0,2,10,2450,0,1990,0.0,98038,47.3746,-122.02600000000001,2650,19597,5.444444444444445,None,NO,Average,Very Good,1624.0097686849138,319.0479993548982
450.0,2,2.0,1510,4908,1.0,0,0,2,8,1510,0,2006,0.0,98053,47.7196,-122.024,1440,3921,3.3555555555555556,None,NO,Average,Good,1624.0097686849138,319.0479993548982
450.0,3,2.0,1540,61419,1.0,0,0,2,7,1540,0,1967,0.0,98028,47.7663,-122.228,3790,8529,3.422222222222222,None,NO,Average,Average,1624.0097686849138,319.0479993548982
450.0,2,2.0,1040,1377,2.0,0,0,2,8,1040,0,2003,0.0,98105,47.6692,-122.279,1264,1892,2.311111111111111,None,NO,Average,Good,1624.0097686849138,319.0479993548982
450.0,4,2.0,1980,7350,1.0,0,0,2,7,1430,550,1973,0.0,98034,47.7088,-122.20200000000001,1870,7920,4.4,None,NO,Average,Average,1624.0097686849138,319.0479993548982
450.0,4,3.0,2400,7693,2.0,0,0,2,8,2400,0,2003,0.0,98059,47.4881,-122.14200000000001,2400,8038,5.333333333333333,None,NO,Average,Good,1624.0097686849138,319.0479993548982
450.0,3,2.0,1540,7490,1.0,0,0,4,7,1540,0,1971,0.0,98034,47.7222,-122.177,1270,7350,3.422222222222222,None,NO,Very Good,Average,1624.0097686849138,319.0479993548982
